timestamp,switch_dpid,in_port,eth_src,eth_dst,eth_type,protocol,src_ip,dst_ip,src_port,dst_port,length,tcp_flags,ttl,icmp_type
14:41:39.944,0000000000000003,1,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:39.948,0000000000000002,3,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:39.950,0000000000000001,2,52:08:3a:51:b2:32,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.034,0000000000000002,1,6a:d7:99:60:36:21,33:33:ff:60:36:21,0x86dd,ICMPv6,::,ff02::1:ff60:3621,,,86,,,135
14:41:40.037,0000000000000001,2,6a:d7:99:60:36:21,33:33:ff:60:36:21,0x86dd,ICMPv6,::,ff02::1:ff60:3621,,,86,,,135
14:41:40.039,0000000000000003,2,6a:d7:99:60:36:21,33:33:ff:60:36:21,0x86dd,ICMPv6,::,ff02::1:ff60:3621,,,86,,,135
14:41:40.040,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.064,0000000000000003,2,36:93:1a:6e:8e:fe,33:33:ff:6e:8e:fe,0x86dd,ICMPv6,::,ff02::1:ff6e:8efe,,,86,,,135
14:41:40.112,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.115,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.120,0000000000000002,3,76:0c:2d:7a:aa:ff,33:33:ff:7a:aa:ff,0x86dd,ICMPv6,::,ff02::1:ff7a:aaff,,,86,,,135
14:41:40.122,0000000000000001,2,76:0c:2d:7a:aa:ff,33:33:ff:7a:aa:ff,0x86dd,ICMPv6,::,ff02::1:ff7a:aaff,,,86,,,135
14:41:40.192,0000000000000002,2,0a:58:f9:f0:98:81,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.195,0000000000000003,2,0a:58:f9:f0:98:81,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.392,0000000000000002,2,0a:58:f9:f0:98:81,33:33:ff:f0:98:81,0x86dd,ICMPv6,::,ff02::1:fff0:9881,,,86,,,135
14:41:40.395,0000000000000003,2,0a:58:f9:f0:98:81,33:33:ff:f0:98:81,0x86dd,ICMPv6,::,ff02::1:fff0:9881,,,86,,,135
14:41:40.457,0000000000000002,1,6a:d7:99:60:36:21,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.460,0000000000000001,2,6a:d7:99:60:36:21,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.462,0000000000000003,2,6a:d7:99:60:36:21,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.711,0000000000000001,2,a6:7f:b8:d7:e3:82,33:33:00:00:00:16,0x86dd,ICMPv6,::,ff02::16,,,90,,,143
14:41:40.776,0000000000000001,2,a6:7f:b8:d7:e3:82,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::a47f:b8ff:fed7:e382,ff02::16,,,90,,,143
14:41:40.777,0000000000000001,2,a6:7f:b8:d7:e3:82,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::a47f:b8ff:fed7:e382,ff02::2,,,70,,,133
14:41:40.778,0000000000000001,2,a6:7f:b8:d7:e3:82,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::a47f:b8ff:fed7:e382,ff02::16,,,90,,,143
14:41:40.904,0000000000000001,1,46:3a:0b:c3:be:32,33:33:00:00:00:16,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::16,,,90,,,143
14:41:40.905,0000000000000001,1,46:3a:0b:c3:be:32,33:33:00:00:00:02,0x86dd,ICMPv6,fe80::443a:bff:fec3:be32,ff02::2,,,70,,,133
